scientific_name	display_name	id	version	datasources	ncbi
Brugia malayi	Brugia malayi (PRJNA10729)	bmalayi	Bmal-4.0	GO:MF, GO:CC, GO:BP, KEGG	6279
Brugia malayi	Brugia malayi (PRJNA10729) [WS282]	brmalaprjna10729	Bmal-4.0 (WS282)	GO:MF, GO:CC, GO:BP, KEGG	6279
Brugia pahangi	Brugia pahangi (PRJEB497)	brpahaprjeb497	B_pahangi_Glasgow_0011_upd (2014-06-50HGPpatch)	GO:MF, GO:CC, GO:BP	6280
Brugia timori	Brugia timori (PRJEB4663)	brtimoprjeb4663	B_timori_Indonesia_v1_0_4_001_upd (2014-06-50HGPpatch)	GO:MF, GO:CC, GO:BP	42155
Bursaphelenchus okinawaensis	Bursaphelenchus okinawaensis (PRJEB40023)	buokinprjeb40023	BOKI2 (2021-03-WormBase)	GO:MF, GO:CC, GO:BP	465554
Bursaphelenchus xylophilus	Bursaphelenchus xylophilus (PRJEA64437)	buxyloprjea64437	ASM23113v1_submitted (2014-05-WormBase)	GO:MF, GO:CC, GO:BP	6326
Bursaphelenchus xylophilus	Bursaphelenchus xylophilus (PRJEB40022)	buxyloprjeb40022	BXYJ5 (2021-03-WormBase)	GO:MF, GO:CC, GO:BP	6326
Caenorhabditis angaria	Caenorhabditis angaria (PRJNA51225)	caangaprjna51225	13mar2012 (2012-12-Caltech)	GO:MF, GO:CC, GO:BP	860376
Caenorhabditis becei	Caenorhabditis becei (PRJEB28243)	cabeceprjeb28243	CBECE_v1 (2020-05-WormBase)	GO:MF, GO:CC, GO:BP	2301260
Caenorhabditis bovis	Caenorhabditis bovis (PRJEB34497)	caboviprjeb34497	CBOVIS_v1 (2020-05-WormBase)	GO:MF, GO:CC, GO:BP	2654633
Caenorhabditis brenneri	Caenorhabditis brenneri (PRJNA20035)	cbrenneri	C_brenneri-6.0.1b	GO:MF, GO:CC, GO:BP	135651
Caenorhabditis brenneri	Caenorhabditis brenneri (PRJNA20035) [WS282]	cabrenprjna20035	C_brenneri-6.0.1b (WS279)	GO:MF, GO:CC, GO:BP	135651
Caenorhabditis briggsae	Caenorhabditis briggsae (PRJNA10731)	cbriggsae	CB4	GO:MF, GO:CC, GO:BP, KEGG	6238
Caenorhabditis briggsae	Caenorhabditis briggsae (PRJNA10731) [WS282]	cabrigprjna10731	CB4 (WS282)	GO:MF, GO:CC, GO:BP, KEGG	6238
Caenorhabditis elegans	Caenorhabditis elegans (PRJNA13758)	celegans	WBcel235	GO:MF, GO:CC, GO:BP, KEGG, TF, MIRNA, HP, WP	6239
Caenorhabditis elegans	Caenorhabditis elegans (PRJNA13758) [WS282]	caelegprjna13758	WBcel235 (WS282)	GO:MF, GO:CC, GO:BP, KEGG	6239
Caenorhabditis inopinata	Caenorhabditis inopinata (PRJDB5687)	cainopprjdb5687	Sp34_v7 (2018-05-WormBase)	GO:MF, GO:CC, GO:BP	1978547
Caenorhabditis japonica	Caenorhabditis japonica (PRJNA12591) [WS282]	cajapoprjna12591	C_japonica-7.0.1 (WS279)	GO:MF, GO:CC, GO:BP	281687
Caenorhabditis latens	Caenorhabditis latens (PRJNA248912)	calateprjna248912	CaeLat1.0 (2018-05-WormBase)	GO:MF, GO:CC, GO:BP	1503980
Caenorhabditis nigoni	Caenorhabditis nigoni (PRJNA384657)	canigoprjna384657	nigoni.pc_2016.07.14 (2018-01-WormBase)	GO:MF, GO:CC, GO:BP	1611254
Caenorhabditis panamensis	Caenorhabditis panamensis (PRJEB28259)	capanaprjeb28259	CPANA_v1 (2020-05-WormBase)	GO:MF, GO:CC, GO:BP	2301259
Caenorhabditis remanei	Caenorhabditis remanei (PRJNA248909)	caremaprjna248909	ASM164373v2 (2018-05-WormBase)	GO:MF, GO:CC, GO:BP	31234
Caenorhabditis remanei	Caenorhabditis remanei (PRJNA248911)	caremaprjna248911	CaeRem1.0 (2018-05-WormBase)	GO:MF, GO:CC, GO:BP	31234
Caenorhabditis remanei	Caenorhabditis remanei (PRJNA53967)	cremanei	C_remanei-15.0.1	GO:MF, GO:CC, GO:BP	31234
Caenorhabditis remanei	Caenorhabditis remanei (PRJNA53967) [WS282]	caremaprjna53967	C_remanei-15.0.1 (WS279)	GO:MF, GO:CC, GO:BP	31234
Caenorhabditis remanei	Caenorhabditis remanei (PRJNA577507)	caremaprjna577507	CRPX506 (2021-04-WormBase)	GO:MF, GO:CC, GO:BP	31234
Caenorhabditis sinica	Caenorhabditis sinica (PRJNA194557)	casiniprjna194557	1.0 (2011-12-Edinburgh)	GO:MF, GO:CC, GO:BP	1550068
Caenorhabditis sp. 21 LS-2015	Caenorhabditis parvicauda (PRJEB12595)	caparvprjeb12595	CPARV_v1 (2020-05-WormBase)	GO:MF, GO:CC, GO:BP	1737332
Caenorhabditis sp. 26 LS-2015	Caenorhabditis zanzibari (PRJEB12596)	cazanzprjeb12596	CZANZ_v1 (2020-05-WormBase)	GO:MF, GO:CC, GO:BP	1737333
Caenorhabditis sp. 31 LS-2015	Caenorhabditis uteleia (PRJEB12600)	cautelprjeb12600	CUTEL_v1 (2020-05-WormBase)	GO:MF, GO:CC, GO:BP	1737334
Caenorhabditis sp. 32 LS-2015	Caenorhabditis sulstoni (PRJEB12601)	casulsprjeb12601	CSULS_v1 (2020-05-WormBase)	GO:MF, GO:CC, GO:BP	1737335
Caenorhabditis sp. 38 MB-2015	Caenorhabditis quiockensis (PRJEB11354)	caquioprjeb11354	CQUIO_v1 (2020-05-WormBase)	GO:MF, GO:CC, GO:BP	1729975
Caenorhabditis sp. 39 LS-2015	Caenorhabditis waitukubuli (PRJEB12602)	cawaitprjeb12602	CWAIT_v1 (2020-05-WormBase)	GO:MF, GO:CC, GO:BP	1737336
Caenorhabditis sp. 40 LS-2015	Caenorhabditis tribulationis (PRJEB12608)	catribprjeb12608	CTRIB_v1 (2020-05-WormBase)	GO:MF, GO:CC, GO:BP	1737337
Caenorhabditis tropicalis	Caenorhabditis tropicalis (PRJNA53597)	catropprjna53597	Caenorhabditis_sp11_JU1373-3.0.1 (2011-04-WormBase)	GO:MF, GO:CC, GO:BP	1561998
Callithrix jacchus	White-tufted-ear marmoset	cjacchus	mCalJac1.pat.X	GO:MF, GO:CC, GO:BP, KEGG, HP	9483
Callorhinchus milii	Elephant shark	cmilii	Callorhinchus_milii-6.1.3	GO:MF, GO:CC, GO:BP, HP	7868
Camelina sativa	Camelina sativa	csativa	Cs	GO:MF, GO:CC, GO:BP, KEGG	90675
Camelus dromedarius	Arabian camel	cdromedarius	CamDro2	GO:MF, GO:CC, GO:BP, KEGG, HP	9838
Candida albicans SC5314	Candida albicans	calbicans	GCA000182965v3	GO:MF, GO:CC, GO:BP	237561
[Candida] auris	Candida auris	cauris	GCA002759435v2	GO:MF, GO:CC, GO:BP	498019
[Candida] duobushaemulonis	Candida duobushaemulonis	cduobushaemulonis	GCA002926085v1	GO:MF, GO:CC, GO:BP	1231522
[Candida] glabrata CBS 138	Candida glabrata	cglabrata	GCA000002545v2	GO:MF, GO:CC, GO:BP	284593
[Candida] haemuloni	[Candida] haemuloni	chaemuloni	GCA002926055v1	GO:MF, GO:CC, GO:BP	45357
Candida parapsilosis CDC317	Candida parapsilosis	cparapsilosis	GCA000182765v2	GO:MF, GO:CC, GO:BP	578454
[Candida] pseudohaemulonii	[Candida] pseudohaemulonii	cpseudohaemulonis	GCA003013735v1	GO:MF, GO:CC, GO:BP	418784
Candida tropicalis MYA-3404	Candida tropicalis	ctropicalis	GCA000006335v3	GO:MF, GO:CC, GO:BP	294747
Canis lupus dingo	Dingo	cldingo	ASM325472v1	GO:MF, GO:CC, GO:BP, HP	286419
Canis lupus familiaris	Dog	clfamiliaris	ROS_Cfam_1.0	GO:MF, GO:CC, GO:BP, KEGG, HP	9615
Cannabis sativa	Cannabis sativa female	csfemale	cs10	GO:MF, GO:CC, GO:BP	3483
Capitella teleta	Capitella teleta	cteleta	Capitella teleta v1.0	GO:MF, GO:CC, GO:BP	283909
Capra hircus	Goat	chircus	ARS1	GO:MF, GO:CC, GO:BP, KEGG, HP	9925
Capsicum annuum	Capsicum annuum	cannuum	ASM51225v2	GO:MF, GO:CC, GO:BP, KEGG	4072
Carassius auratus	Goldfish	cauratus	ASM336829v1	GO:MF, GO:CC, GO:BP, HP	7957
Carlito syrichta	Tarsier	csyrichta	Tarsius_syrichta-2.0.1	GO:MF, GO:CC, GO:BP, HP	1868482
Catagonus wagneri	Chacoan peccary	cwagneri	CatWag_v2_BIUU_UCD	GO:MF, GO:CC, GO:BP, HP	51154
Cavia porcellus	Guinea Pig	cporcellus	Cavpor3.0	GO:MF, GO:CC, GO:BP, HP	10141
Cebus imitator	Capuchin	ccapucinus	Cebus_imitator-1.0	GO:MF, GO:CC, GO:BP, HP	2715852
Centruroides sculpturatus	Centruroides sculpturatus (CEXI.00-Female) - GCA_000671375.2	csgca000671375v2	Cexi_2.0	GO:MF, GO:CC, GO:BP	218467
Ceratitis capitata	Ceratitis capitata (Mediterranean fruit fly) - GCA_000347755.4	ccgca000347755v4	Ccap_2.0	GO:MF, GO:CC, GO:BP	7213
Cercocebus atys	Sooty mangabey	catys	Caty_1.0	GO:MF, GO:CC, GO:BP, HP	9531
Cercopithifilaria johnstoni	Cercopithifilaria johnstoni (PRJEB47283)	cejohnprjeb47283	SD210906 (2021-11-WormBase)	GO:MF, GO:CC, GO:BP	2874296
Cervus hanglu yarkandensis	Yarkand deer	chyarkandensis	CEY_v1	GO:MF, GO:CC, GO:BP, HP	84702
Chara braunii	Chara braunii	cbraunii	Cbr_1.0	GO:MF, GO:CC, GO:BP	69332
Chelonoidis abingdonii	Abingdon island giant tortoise	cabingdonii	ASM359739v1	GO:MF, GO:CC, GO:BP, HP	106734
Chenopodium quinoa	Chenopodium quinoa	cquinoa	ASM168347v1	GO:MF, GO:CC, GO:BP	63459
Chinchilla lanigera	Long-tailed chinchilla	clanigera	ChiLan1.0	GO:MF, GO:CC, GO:BP, HP	34839
Chlamydomonas reinhardtii	Chlamydomonas reinhardtii	creinhardtii	Chlamydomonas_reinhardtii_v5.5	GO:MF, GO:CC, GO:BP, KEGG	3055
Chlorocebus sabaeus	Vervet-AGM	csabaeus	ChlSab1.1	GO:MF, GO:CC, GO:BP, KEGG, HP	60711
Choloepus hoffmanni	Sloth	choffmanni	choHof1	GO:MF, GO:CC, GO:BP, HP	9358
Chondrus crispus	Chondrus crispus	ccrispus	ASM35022v2	GO:MF, GO:CC, GO:BP, KEGG	2769
Chrysemys picta bellii	Painted turtle	cpbellii	Chrysemys_picta_bellii-3.0.3	GO:MF, GO:CC, GO:BP, KEGG, HP	8478
Cimex lectularius	Cimex lectularius (Harlan)	clectularius	Clec_2.0	GO:MF, GO:CC, GO:BP, KEGG	79782
Ciona intestinalis	C.intestinalis	cintestinalis	KH	GO:MF, GO:CC, GO:BP, KEGG, HP	7719
Ciona savignyi	C.savignyi	csavignyi	CSAV 2.0	GO:MF, GO:CC, GO:BP, HP	51511
Citrullus lanatus	Citrullus lanatus	clanatus	Cla97_v1	GO:MF, GO:CC, GO:BP	3654
Citrus clementina	Citrus clementina	cclementina	Citrus_clementina_v1.0	GO:MF, GO:CC, GO:BP, KEGG	85681
Clonorchis sinensis	Clonorchis sinensis (PRJDA72781)	clsineprjda72781	C_sinensis-2.0 (2014-05-WormBase)	GO:MF, GO:CC, GO:BP	79923
Clonorchis sinensis	Clonorchis sinensis (PRJNA386618)	clsineprjna386618	CSKR.v2 (2021-04-WormBase)	GO:MF, GO:CC, GO:BP	79923
Clupea harengus	Atlantic herring	charengus	Ch_v2.0.2	GO:MF, GO:CC, GO:BP, HP	7950
Clytia hemisphaerica	Clytia hemisphaerica (Z4C2)	chgca902728285	GCA902728285v1	GO:MF, GO:CC, GO:BP	252671
